"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1",31,62,38,0,0,0,0,0,0,76,8,4,5,17,33,62,21,16
"2",30,77,37,0,0,0,0,0,0,65,8,4,5,17,31,77,21,16
"3",38,85,37,0,0,0,0,46,0,65,9,4,5,17,31,85,21,16
"4",36,73,37,0,0,0,3,46,6,65,9,4,5,17,31,73,21,16
"5",37,82,37,0,0,0,6,46,27,65,9,4,5,19,31,82,12,16
"6",37,82,45,0,0,0,6,28,34,65,9,4,5,20,22,82,12,16
"7",28,82,45,0,0,0,6,28,34,65,9,4,5,20,22,82,12,16
"8",28,82,43,0,0,0,6,28,36,65,9,4,5,20,22,82,12,16
"9",18,83,34,0,0,0,6,28,36,65,9,4,5,19,22,83,10,16
"10",20,83,34,0,0,0,6,25,36,64,9,4,5,19,18,83,10,11
"11",20,83,33,0,0,0,6,25,36,64,9,5,5,19,18,83,10,11
"12",20,83,33,0,0,98,6,25,36,64,9,5,5,19,18,83,10,11
"13",20,84,33,0,0,98,6,27,37,64,11,5,5,19,18,84,12,11
"14",20,84,33,14,16,98,9,27,37,64,11,5,5,19,18,84,13,11
